date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:50	622/622	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Mar%202022%2010:45:00%20GMT	https://www.cybevasion.fr/jquery/jquery.extensions.js	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/jquery/jquery.extensions.js	(from https://www.auxgitesdemaelle.com/)
12:33:51	239576/239576	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2002%20Mar%202022%2010:45:00%20GMT	https://www.cybevasion.fr/jquery/jquery-ui.min.js	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/jquery/jquery-ui.min.js	(from https://www.auxgitesdemaelle.com/)
12:33:51	37587/37587	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Mar%202022%2010:45:01%20GMT	https://www.cybevasion.fr/jquery/jquery.qtip.min.js	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/jquery/jquery.qtip.min.js	(from https://www.auxgitesdemaelle.com/)
12:33:51	948/948	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Mar%202022%2010:45:01%20GMT	https://www.cybevasion.fr/jquery/jquery.ui.datepicker-fr.js	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/jquery/jquery.ui.datepicker-fr.js	(from https://www.auxgitesdemaelle.com/)
12:33:51	2681/2681	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Mar%202022%2010:45:01%20GMT	https://www.cybevasion.fr/jquery/jquery.scrollTo-min.js	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/jquery/jquery.scrollTo-min.js	(from https://www.auxgitesdemaelle.com/)
12:33:51	18720/18720	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2030%20Jul%202024%2009:40:06%20GMT	https://www.cybevasion.fr/jquery/jquery.swipebox.js	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/jquery/jquery.swipebox.js	(from https://www.auxgitesdemaelle.com/)
12:33:52	11830/11830	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Mar%202022%2010:45:00%20GMT	https://www.cybevasion.fr/jquery/jquery-event-swipe.js	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/jquery/jquery-event-swipe.js	(from https://www.auxgitesdemaelle.com/)
12:33:52	24745/24745	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20Nov%202024%2014:11:43%20GMT	https://www.cybevasion.fr/javascript/cookiechoices.js?202105041646	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/javascript/cookiechoices7254.js	(from https://www.auxgitesdemaelle.com/)
12:33:52	5411/5411	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:46%20GMT	https://www.auxgitesdemaelle.com/cookies.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/cookies.html	(from https://www.auxgitesdemaelle.com/)
12:33:52	13538/13538	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202024%2017:42:11%20GMT	https://www.auxgitesdemaelle.com/couleur/leaflet/leaflet.css	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/couleur/leaflet/leaflet.css	(from https://www.auxgitesdemaelle.com/)
12:33:53	139625/139625	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2031%20Oct%202024%2020:24:19%20GMT	https://www.auxgitesdemaelle.com/couleur/leaflet/leaflet.js	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/couleur/leaflet/leaflet.js	(from https://www.auxgitesdemaelle.com/)
12:33:53	323/323	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Nov%202024%2011:34:46%20GMT	https://www.auxgitesdemaelle.com/GET	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/GET	(from https://www.auxgitesdemaelle.com/)
12:33:53	147/147	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Nov%202024%2019:20:19%20GMT	https://www.auxgitesdemaelle.com/couleur/lib/gfx/dropdown-arrow.png	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/couleur/lib/gfx/dropdown-arrow.png	(from https://www.auxgitesdemaelle.com/style_color_2.css?202311171145)
12:33:53	141/141	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Nov%202024%2011:22:37%20GMT	https://www.auxgitesdemaelle.com/couleur/lib/gfx/dropdown-arrow-disabled.png	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/couleur/lib/gfx/dropdown-arrow-disabled.png	(from https://www.auxgitesdemaelle.com/style_color_2.css?202311171145)
12:33:54	155149/155149	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2010%20May%202019%2009:29:36%20GMT	https://www.cybevasion.fr/gites/france/44/55850_711171_21.jpg	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/gites/france/44/55850_711171_21.jpg	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:54	40094/40094	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:48%20GMT	https://www.auxgitesdemaelle.com/accueil_55850_en.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_55850_en.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:54	39238/39238	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:48%20GMT	https://www.auxgitesdemaelle.com/accueil_55850_de.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_55850_de.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:55	39274/39274	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:48%20GMT	https://www.auxgitesdemaelle.com/accueil_55850_es.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_55850_es.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:55	39214/39214	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:48%20GMT	https://www.auxgitesdemaelle.com/accueil_55850_it.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_55850_it.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:55	39202/39202	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:49%20GMT	https://www.auxgitesdemaelle.com/accueil_55850_nl.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_55850_nl.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:55	2133/2133	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Nov%202024%2017:51:44%20GMT	https://www.auxgitesdemaelle.com/couleur/lib/link.svg	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/couleur/lib/link.svg	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:55	4697/4697	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:49%20GMT	https://www.auxgitesdemaelle.com/cdn-cgi/l/email-protection	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/cdn-cgi/l/email-protection.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:56	644/644	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2026%20Oct%202024%2015:37:26%20GMT	https://www.auxgitesdemaelle.com/couleur/lib/facebook.svg	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/couleur/lib/facebook.svg	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:56	32524/32524	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:50%20GMT	https://www.auxgitesdemaelle.com/photos_55850.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/photos_55850.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:56	129857/129857	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:50%20GMT	https://www.auxgitesdemaelle.com/tarifs_55850.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/tarifs_55850.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:57	42178/42178	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:50%20GMT	https://www.auxgitesdemaelle.com/plan_55850.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/plan_55850.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:57	39716/39716	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:50%20GMT	https://www.auxgitesdemaelle.com/livredor_55850.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/livredor_55850.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:57	39686/39686	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Nov%202024%2011:34:51%20GMT	https://www.auxgitesdemaelle.com/livredor.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/livredor.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:57	72489/72489	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Nov%202024%2011:34:51%20GMT	https://www.auxgitesdemaelle.com/contact.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/contact.html	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:58	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673379cd-4d7%22	https://www.auxgitesdemaelle.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.auxgitesdemaelle.com/accueil_55850.html)
12:33:58	219797/219797	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2012%20Apr%202023%2007:20:20%20GMT	https://www.cybevasion.fr/gites/france/44/86264_108_820.jpg	C:/Users/kerx29/Documents/projet-html-css/www.cybevasion.fr/gites/france/44/86264_108_820.jpg	(from https://www.auxgitesdemaelle.com/accueil_86264.html)
12:33:58	41533/41533	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:52%20GMT	https://www.auxgitesdemaelle.com/accueil_86264_en.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_86264_en.html	(from https://www.auxgitesdemaelle.com/accueil_86264.html)
12:33:58	40264/40264	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:52%20GMT	https://www.auxgitesdemaelle.com/accueil_86264_de.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_86264_de.html	(from https://www.auxgitesdemaelle.com/accueil_86264.html)
12:33:59	40295/40295	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:52%20GMT	https://www.auxgitesdemaelle.com/accueil_86264_es.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_86264_es.html	(from https://www.auxgitesdemaelle.com/accueil_86264.html)
12:33:59	40236/40236	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:52%20GMT	https://www.auxgitesdemaelle.com/accueil_86264_it.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_86264_it.html	(from https://www.auxgitesdemaelle.com/accueil_86264.html)
12:33:59	40232/40232	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:53%20GMT	https://www.auxgitesdemaelle.com/accueil_86264_nl.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/accueil_86264_nl.html	(from https://www.auxgitesdemaelle.com/accueil_86264.html)
12:33:59	33665/33665	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:53%20GMT	https://www.auxgitesdemaelle.com/photos_86264.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/photos_86264.html	(from https://www.auxgitesdemaelle.com/accueil_86264.html)
12:34:00	130409/130409	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:34:53%20GMT	https://www.auxgitesdemaelle.com/tarifs_86264.html	C:/Users/kerx29/Documents/projet-html-css/www.auxgitesdemaelle.com/tarifs_86264.html	(from https://www.auxgitesdemaelle.com/accueil_86264.html)
